2022-04-21 17:47:30,243 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (5, 8, 8) with prob = 0.0006629
2022-04-21 17:47:30,244 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (0.511, -1.756, 643.386)
2022-04-21 17:47:30,246 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2022-04-21 17:47:33,649 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-21 17:47:33,657 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (7, 2, 4)
2022-04-21 17:47:33,658 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (4, 7, 7) with prob = 0.0004269
2022-04-21 17:47:33,660 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 0.0004520123091414655
2022-04-21 17:47:33,661 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (0.511, -0.537, 993.386)
2022-04-21 17:47:33,663 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (-0.305, 0.914, -30.000)
2022-04-21 17:47:33,664 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (0.816, -1.451, 1023.386)
2022-04-21 17:47:33,666 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-21 17:49:53,087 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2022-04-21 17:49:53,101 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (7, 0, 4)
2022-04-21 17:49:53,102 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (3, 8, 7) with prob = 0.0005694
2022-04-21 17:49:53,104 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (1.144, -2.155, 1023.386)
2022-04-21 17:49:53,107 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2022-04-21 17:49:56,758 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-21 17:49:56,765 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (7, 0, 4)
2022-04-21 17:49:56,767 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (8, 2, 15) with prob = 0.0001384
2022-04-21 17:49:56,769 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 0.00013878059286593164
2022-04-21 17:49:56,771 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (0.534, -0.936, 1353.386)
2022-04-21 17:49:56,772 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (0.914, -0.610, 130.000)
2022-04-21 17:49:56,775 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (-0.380, -0.327, 1223.386)
2022-04-21 17:49:56,777 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-21 17:52:31,366 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2022-04-21 17:52:31,385 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (8, 0, 8)
2022-04-21 17:52:31,387 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (7, 8, 17) with prob = 0.0001343
2022-04-21 17:52:31,388 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (0.186, -2.302, 1269.329)
2022-04-21 17:52:31,391 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2022-04-21 17:52:34,809 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-21 17:52:34,817 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (8, 0, 8)
2022-04-21 17:52:34,818 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (7, 7, 17) with prob = 0.0001142
2022-04-21 17:52:34,820 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 0.00011440514036420412
2022-04-21 17:52:34,821 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (0.796, -1.083, 1799.329)
2022-04-21 17:52:34,822 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (0.610, 0.914, 170.000)
2022-04-21 17:52:34,823 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (0.186, -1.997, 1629.329)
2022-04-21 17:52:34,825 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-21 17:55:17,994 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2022-04-21 17:55:18,010 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (11, 0, 11)
2022-04-21 17:55:18,012 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (10, 7, 16) with prob = 0.0002296
2022-04-21 17:55:18,013 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (0.064, -1.846, 1698.926)
2022-04-21 17:55:18,016 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2022-04-21 17:55:21,504 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-21 17:55:21,508 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (11, 0, 11)
2022-04-21 17:55:21,510 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (10, 7, 16) with prob = 0.0001675
2022-04-21 17:55:21,511 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 0.00022969708531931054
2022-04-21 17:55:21,513 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (1.588, -0.932, 2208.926)
2022-04-21 17:55:21,515 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (1.524, 0.914, 150.000)
2022-04-21 17:55:21,517 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (0.064, -1.846, 2058.926)
2022-04-21 17:55:21,519 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-21 17:58:01,930 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2022-04-21 17:58:01,937 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (11, 2, 12)
2022-04-21 17:58:01,939 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (11, 6, 16) with prob = 0.0002140
2022-04-21 17:58:01,941 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (-0.156, -1.157, 2087.580)
2022-04-21 17:58:01,944 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2022-04-21 17:58:05,366 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-21 17:58:05,375 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (11, 2, 12)
2022-04-21 17:58:05,376 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (11, 5, 15) with prob = 6.4245580
2022-04-21 17:58:05,377 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 0.00016065021008246946
2022-04-21 17:58:05,379 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (1.673, -0.548, 2597.580)
2022-04-21 17:58:05,381 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (1.829, 0.305, 130.000)
2022-04-21 17:58:05,382 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (-0.156, -0.853, 2467.580)
2022-04-21 17:58:05,385 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-21 17:59:38,494 | MainThread   | [INFO    ] | populate_views      |:  | Number of observations per grid cell: 18
2022-04-21 17:59:38,495 | MainThread   | [INFO    ] | populate_views      |:  | Precaching Views...
2022-04-21 17:59:46,225 | MainThread   | [INFO    ] | populate_views      |:  | Precaching Time: 7.728 secs
2022-04-21 17:59:46,228 | MainThread   | [INFO    ] | init_uniform_distribution|: Initializing beliefs with a Uniform Distribution
2022-04-21 17:59:46,231 | MainThread   | [INFO    ] | init_uniform_distribution|: Uniform Belief with each cell value: 0.00051440329218107
2022-04-21 18:00:28,428 | MainThread   | [INFO    ] | init_uniform_distribution|: Initializing beliefs with a Uniform Distribution
2022-04-21 18:00:28,429 | MainThread   | [INFO    ] | init_uniform_distribution|: Uniform Belief with each cell value: 0.00051440329218107
2022-04-21 18:00:31,362 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-21 18:00:31,369 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (6, 4, 9)
2022-04-21 18:00:31,371 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (0, 0, 1) with prob = 0.0005144
2022-04-21 18:00:31,372 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 0.00051440329218107
2022-04-21 18:00:31,373 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (0.000, 0.000, 360.000)
2022-04-21 18:00:31,375 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (-1.524, -1.219, -150.000)
2022-04-21 18:00:31,376 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (1.524, 1.219, 510.000)
2022-04-21 18:00:31,379 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-21 18:05:42,140 | MainThread   | [INFO    ] | init_uniform_distribution|: Initializing beliefs with a Uniform Distribution
2022-04-21 18:05:42,142 | MainThread   | [INFO    ] | init_uniform_distribution|: Uniform Belief with each cell value: 0.00051440329218107
2022-04-21 18:05:45,106 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-21 18:05:45,117 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (6, 4, 9)
2022-04-21 18:05:45,119 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (0, 0, 0) with prob = 0.0
2022-04-21 18:05:45,120 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 0.00051440329218107
2022-04-21 18:05:45,121 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (0.000, 0.000, 360.000)
2022-04-21 18:05:45,123 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (-1.524, -1.219, -170.000)
2022-04-21 18:05:45,125 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (1.524, 1.219, 530.000)
2022-04-21 18:05:45,126 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-21 18:07:06,376 | MainThread   | [INFO    ] | init_uniform_distribution|: Initializing beliefs with a Uniform Distribution
2022-04-21 18:07:06,377 | MainThread   | [INFO    ] | init_uniform_distribution|: Uniform Belief with each cell value: 0.00051440329218107
2022-04-21 18:07:09,328 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-21 18:07:09,338 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (6, 4, 9)
2022-04-21 18:07:09,339 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (0, 0, 0) with prob = nan
2022-04-21 18:07:09,340 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 0.00051440329218107
2022-04-21 18:07:09,342 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (0.000, 0.000, 360.000)
2022-04-21 18:07:09,343 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (-1.524, -1.219, -170.000)
2022-04-21 18:07:09,344 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (1.524, 1.219, 530.000)
2022-04-21 18:07:09,346 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-21 18:08:02,206 | MainThread   | [INFO    ] | init_uniform_distribution|: Initializing beliefs with a Uniform Distribution
2022-04-21 18:08:02,207 | MainThread   | [INFO    ] | init_uniform_distribution|: Uniform Belief with each cell value: 0.00051440329218107
2022-04-21 18:08:05,260 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-21 18:08:05,279 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (6, 4, 9)
2022-04-21 18:08:05,280 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (0, 0, 0) with prob = nan
2022-04-21 18:08:05,282 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 0.00051440329218107
2022-04-21 18:08:05,284 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (0.000, 0.000, 360.000)
2022-04-21 18:08:05,286 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (-1.524, -1.219, -170.000)
2022-04-21 18:08:05,288 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (1.524, 1.219, 530.000)
2022-04-21 18:08:05,290 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-21 18:09:47,996 | MainThread   | [INFO    ] | init_uniform_distribution|: Initializing beliefs with a Uniform Distribution
2022-04-21 18:09:47,997 | MainThread   | [INFO    ] | init_uniform_distribution|: Uniform Belief with each cell value: 0.00051440329218107
2022-04-21 18:10:02,251 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-21 18:10:02,259 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (6, 4, 9)
2022-04-21 18:10:02,261 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (0, 0, 0) with prob = nan
2022-04-21 18:10:02,265 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 0.00051440329218107
