2022-04-21 15:08:25,802 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2022-04-21 15:08:25,802 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2022-04-21 15:08:25,804 | MainThread   | [DEBUG   ] | run                 |: ------------------

2022-04-21 17:33:12,574 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-04-21 17:34:34,145 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-04-21 17:35:09,814 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-04-21 17:35:31,697 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-04-21 17:58:52,264 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-04-21 17:59:19,976 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.10.4 (tags/v3.10.4:9d38120, Mar 23 2022, 23:13:41) [MSC v.1929 64 bit (AMD64)]
2022-04-21 17:59:19,978 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2022-04-21 17:59:19,978 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2022-04-21 17:59:19,978 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2022-04-21 17:59:19,978 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2022-04-21 17:59:19,979 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2022-04-21 17:59:19,979 | MainThread   | [DEBUG   ] | run                 |: ------------------

2022-04-21 18:00:28,205 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-04-21 18:05:41,921 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-04-21 18:07:06,156 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-04-21 18:08:01,985 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-04-21 18:09:47,777 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-04-21 18:13:36,372 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-04-21 18:14:56,317 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-04-21 18:15:16,904 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
